longitude	latitude
-43.22703800879117	-19.62976578509858
-43.22706918884194	-19.62980394050902
-43.22711740724088	-19.62983317041784
-43.22718438992231	-19.62987405065364
-43.22724727784953	-19.62991451769577
-43.22729804538238	-19.62993557886692
-43.22737064483991	-19.62996449956348
-43.22741179764101	-19.62998826046879
-43.2274691070356	-19.63001548256944
-43.22753645117665	-19.63004421085695
-43.22762229754738	-19.63008592384688
-43.22773285098167	-19.63013280623127
-43.22785783888256	-19.63017181925117
-43.2280891941834	-19.63022590568681
-43.22842737490024	-19.63028803412526
-43.22876617798993	-19.63034438283513
-43.22892868419595	-19.63036791903489
-43.22910313338262	-19.63039213932915
-43.22921976553146	-19.63041170698845
-43.22935001110903	-19.63041591951571
-43.22949545191612	-19.63041349944066
-43.22957402845194	-19.63038260783946
-43.22961566739059	-19.63035079254179
-43.22965521069725	-19.63032534116948
-43.22976339851739	-19.63031253073945
-43.22986342470909	-19.63035307312794
-43.22989326179999	-19.63040825773621
-43.22993500899293	-19.63047846196783
-43.22999651265015	-19.63051855871525
-43.23006522254509	-19.63054394346269
-43.23021009988907	-19.63057249791384
-43.23031221952934	-19.63059120112352
-43.23041381509013	-19.63061242075863
-43.23051255060378	-19.63063440475246
-43.23060979562261	-19.63065216569102
-43.23072605266927	-19.63068513625575
-43.23082429810937	-19.6307191485899
-43.23089880903871	-19.63074698065872
-43.23096291725132	-19.63078206452071
-43.23103205630882	-19.63082840129395
-43.23113756565368	-19.63088933969365
-43.2312298666607	-19.63094523777079
-43.23131501843116	-19.63102121507005
-43.23138200488464	-19.63108221311143
-43.23142447844344	-19.63111928385364
-43.23146026281628	-19.63113437633363
-43.23149729752053	-19.63117462562757
-43.23150598892713	-19.63119887951284
-43.23154371553788	-19.63125337669618
-43.23157482199682	-19.63130037832838
-43.23159880098115	-19.63135350861728
-43.23165284870004	-19.63142652440747
-43.23170355432529	-19.63150688335426
-43.23175083655765	-19.63158916320939
-43.23178913258408	-19.63165291110504
-43.23180323464526	-19.63169696288031
-43.23182024070918	-19.63179228258907
-43.23184392783963	-19.63186788865788
-43.23186449165188	-19.63195988345383
-43.23188483516453	-19.63203204345475
-43.23189708109523	-19.63210588886002
-43.23191126713587	-19.63222951125128
-43.23191304160109	-19.63230629259123
-43.23192186174151	-19.63243278659346
-43.2319329543478	-19.63255835332212
-43.23194571914738	-19.632724212523
-43.23195458044807	-19.63285590640547
-43.2319683524908	-19.63298175699342
-43.23197723345292	-19.63314133502427
-43.23198765336426	-19.63329794737653
-43.23199452989898	-19.63350880346615
-43.2319900682925	-19.63369975583242
-43.23197750162804	-19.63385219348569
-43.23197082389677	-19.63395261799894
-43.23196907007915	-19.63412457975609
-43.23197134613204	-19.63423240519883
-43.23196357001892	-19.63437393976045
-43.23196110452446	-19.63454930680817
-43.23195918558228	-19.63468739353875
-43.23195422935173	-19.63486580916664
-43.23195098693304	-19.63496694575619
-43.23194729597916	-19.63515399436139
